nombre_ciudad,habitantes,nombre_restaurante,capacidad_restaurante,nombre_plato,precio_plato
Barcelona,1620343,El Celler de Can Roca,120,Canelón de pato,45.0
Barcelona,1620343,ABaC Restaurant,80,Cordero lechal,65.0
Barcelona,1620343,ABaC Restaurant,80,Cremoso de foie,35.0
Valencia,814208,Ricard Camarena Restaurant,70,Arroz meloso,40.0
Valencia,814208,Ricard Camarena Restaurant,70,Coca de sardinas,25.0
Valencia,814208,Quique Dacosta Restaurante,100,Gazpacho de cerezas,55.0
Valencia,814208,Quique Dacosta Restaurante,100,Carpaccio de vieiras,45.0
Valencia,814208,La Salita,50,Secreto ibérico,30.0
Valencia,814208,La Salita,50,Sopa de espárragos,20.0
Sevilla,688711,Abantal,60,Salmorejo,25.0
Sevilla,688711,Abantal,60,Choco en adobo,35.0
Sevilla,688711,Aponiente,80,Caviar de erizo,60.0
Sevilla,688711,Aponiente,80,Pescado a la sal,50.0
Sevilla,688711,La Azotea,40,Carrillada ibérica,30.0
Sevilla,688711,La Azotea,40,Ensaladilla rusa,20.0
Zaragoza,674317,La Prensa,50,Ternasco de Aragón,35.0
Zaragoza,674317,La Prensa,50,Trenza de bacalao,25.0
Zaragoza,674317,La Granada,80,Cordero asado,45.0
Zaragoza,674317,La Granada,80,Ensalada templada de foie,30.0
Zaragoza,674317,Los Cabezudos,60,Bacalao al pil pil,40.0
Zaragoza,674317,Los Cabezudos,60,Tarta de Santiago,20.0
Málaga,571026,El Pimpi,100,Ensalada malagueña,25.0
Málaga,571026,El Pimpi,100,Boquerones fritos,20.0
Málaga,571026,Kalycanto,80,Secreto ibérico,40.0
Málaga,571026,Kalycanto,80,Atún a la plancha,35.0
Málaga,571026,El Tintero,120,Fritura de pescado,30.0
Málaga,571026,El Tintero,120,Paella,45.0
Murcia,447182,El Churra,60,Gazpacho murciano,20.0
Murcia,447182,El Churra,60,Caldero,35.0
Murcia,447182,Rincón de Pepe,80,Arroz caldoso,30.0
Murcia,447182,Rincón de Pepe,80,Bacalao al horno,40.0
Murcia,447182,La Barra de los XII,50,Ensalada murciana,15.0
Murcia,447182,La Barra de los XII,50,Calamares a la romana,25.0
